time,.data
1970/01/01/01:00:05.182000,0.0
1970/01/01/01:00:05.200000,0.0
1970/01/01/01:00:05.220000,0.0
1970/01/01/01:00:05.238000,0.0
1970/01/01/01:00:05.258000,0.0
1970/01/01/01:00:05.281000,0.0
1970/01/01/01:00:05.299000,0.0
1970/01/01/01:00:05.319000,0.0
1970/01/01/01:00:05.339000,0.0
1970/01/01/01:00:05.358000,0.0
1970/01/01/01:00:05.378000,0.0
1970/01/01/01:00:05.398000,0.0
1970/01/01/01:00:05.419000,0.0
1970/01/01/01:00:05.440000,0.0
1970/01/01/01:00:05.459000,0.0
1970/01/01/01:00:05.478000,0.0
1970/01/01/01:00:05.499000,0.0
1970/01/01/01:00:05.518000,0.0
1970/01/01/01:00:05.538000,0.0
1970/01/01/01:00:05.559000,0.0
1970/01/01/01:00:05.578000,0.0
1970/01/01/01:00:05.599000,0.0
1970/01/01/01:00:05.620000,0.0
1970/01/01/01:00:05.639000,0.0
1970/01/01/01:00:05.658000,0.0
1970/01/01/01:00:05.679000,0.0
1970/01/01/01:00:05.698000,0.0
1970/01/01/01:00:05.718000,0.0
1970/01/01/01:00:05.739000,0.0
1970/01/01/01:00:05.760000,0.0
1970/01/01/01:00:05.779000,0.0
1970/01/01/01:00:05.799000,0.0
1970/01/01/01:00:05.819000,0.0
1970/01/01/01:00:05.838000,0.0
1970/01/01/01:00:05.858000,0.0
1970/01/01/01:00:05.879000,0.0
1970/01/01/01:00:05.899000,0.0
1970/01/01/01:00:05.919000,0.0
1970/01/01/01:00:05.938000,0.0
1970/01/01/01:00:05.958000,0.0
1970/01/01/01:00:05.979000,0.0
1970/01/01/01:00:05.998000,0.0
1970/01/01/01:00:06.020000,0.0
1970/01/01/01:00:06.039000,0.0
1970/01/01/01:00:06.059000,0.0
1970/01/01/01:00:06.080000,0.0
1970/01/01/01:00:06.100000,0.0
1970/01/01/01:00:06.119000,0.0
1970/01/01/01:00:06.139000,0.0
1970/01/01/01:00:06.159000,0.0
1970/01/01/01:00:06.179000,0.0
1970/01/01/01:00:06.199000,0.0
1970/01/01/01:00:06.218000,0.0
1970/01/01/01:00:06.240000,0.0
1970/01/01/01:00:06.258000,0.0
1970/01/01/01:00:06.280000,0.0
1970/01/01/01:00:06.299000,0.0
1970/01/01/01:00:06.318000,0.0
1970/01/01/01:00:06.338000,0.0
1970/01/01/01:00:06.360000,0.0
1970/01/01/01:00:06.380000,0.0
1970/01/01/01:00:06.399000,0.0
1970/01/01/01:00:06.420000,0.0
1970/01/01/01:00:06.439000,0.0
1970/01/01/01:00:06.458000,0.0
1970/01/01/01:00:06.479000,0.0
1970/01/01/01:00:06.499000,0.0
1970/01/01/01:00:06.520000,0.0
1970/01/01/01:00:06.539000,0.0
1970/01/01/01:00:06.559000,0.0
1970/01/01/01:00:06.578000,0.0
1970/01/01/01:00:06.598000,0.0
1970/01/01/01:00:06.619000,0.0
1970/01/01/01:00:06.638000,0.0
1970/01/01/01:00:06.659000,0.0
1970/01/01/01:00:06.678000,0.0
1970/01/01/01:00:06.698000,0.0
1970/01/01/01:00:06.718000,0.0
1970/01/01/01:00:06.739000,0.0
1970/01/01/01:00:06.759000,0.0
1970/01/01/01:00:06.778000,0.0
1970/01/01/01:00:06.799000,0.0
1970/01/01/01:00:06.818000,0.0
1970/01/01/01:00:06.839000,0.0
1970/01/01/01:00:06.860000,0.0
1970/01/01/01:00:06.879000,0.0
1970/01/01/01:00:06.899000,0.0
1970/01/01/01:00:06.919000,0.0
1970/01/01/01:00:06.939000,0.0
1970/01/01/01:00:06.959000,0.0
1970/01/01/01:00:06.978000,0.0
1970/01/01/01:00:07.000000,0.0
1970/01/01/01:00:07.019000,0.0
1970/01/01/01:00:07.038000,0.0
1970/01/01/01:00:07.058000,0.0
1970/01/01/01:00:07.079000,0.0
1970/01/01/01:00:07.098000,0.0
1970/01/01/01:00:07.120000,0.0
1970/01/01/01:00:07.139000,0.0
1970/01/01/01:00:07.158000,0.0
1970/01/01/01:00:07.179000,0.0
1970/01/01/01:00:07.198000,0.0
1970/01/01/01:00:07.219000,0.0
1970/01/01/01:00:07.239000,0.0
1970/01/01/01:00:07.259000,0.0
1970/01/01/01:00:07.280000,0.0
1970/01/01/01:00:07.299000,0.0
1970/01/01/01:00:07.319000,0.0
1970/01/01/01:00:07.338000,0.0
1970/01/01/01:00:07.359000,0.0
1970/01/01/01:00:07.378000,0.0
1970/01/01/01:00:07.398000,0.0
1970/01/01/01:00:07.418000,0.0
1970/01/01/01:00:07.438000,0.0
1970/01/01/01:00:07.459000,0.0
1970/01/01/01:00:07.479000,0.0
1970/01/01/01:00:07.499000,0.0
1970/01/01/01:00:07.518000,0.0
1970/01/01/01:00:07.539000,0.0
1970/01/01/01:00:07.558000,0.0
1970/01/01/01:00:07.579000,0.0
1970/01/01/01:00:07.600000,0.0
1970/01/01/01:00:07.618000,0.0
1970/01/01/01:00:07.639000,0.0
1970/01/01/01:00:07.658000,0.0
1970/01/01/01:00:07.679000,0.0
1970/01/01/01:00:07.699000,0.0
1970/01/01/01:00:07.720000,0.0
1970/01/01/01:00:07.738000,0.0
1970/01/01/01:00:07.758000,0.0
1970/01/01/01:00:07.780000,0.0
1970/01/01/01:00:07.799000,0.0
1970/01/01/01:00:07.818000,0.0
1970/01/01/01:00:07.839000,0.0
1970/01/01/01:00:07.858000,0.0
1970/01/01/01:00:07.878000,0.0
1970/01/01/01:00:07.903000,0.0
1970/01/01/01:00:07.920000,0.0
1970/01/01/01:00:07.940000,0.0
1970/01/01/01:00:07.959000,0.0
1970/01/01/01:00:07.978000,0.0
1970/01/01/01:00:07.999000,0.0
1970/01/01/01:00:08.018000,0.0
1970/01/01/01:00:08.040000,0.0
1970/01/01/01:00:08.060000,0.0
1970/01/01/01:00:08.081000,0.0
1970/01/01/01:00:08.100000,0.0
1970/01/01/01:00:08.118000,0.0
1970/01/01/01:00:08.139000,0.0
1970/01/01/01:00:08.159000,0.0
1970/01/01/01:00:08.180000,0.0
1970/01/01/01:00:08.203000,0.0
1970/01/01/01:00:08.219000,0.0
1970/01/01/01:00:08.239000,0.0
1970/01/01/01:00:08.259000,0.0
1970/01/01/01:00:08.279000,0.0
1970/01/01/01:00:08.299000,0.0
1970/01/01/01:00:08.319000,0.0
1970/01/01/01:00:08.338000,0.0
1970/01/01/01:00:08.359000,0.0
1970/01/01/01:00:08.379000,0.0
1970/01/01/01:00:08.399000,0.0
1970/01/01/01:00:08.418000,0.0
1970/01/01/01:00:08.439000,0.0
1970/01/01/01:00:08.458000,0.0
1970/01/01/01:00:08.479000,0.0
1970/01/01/01:00:08.500000,0.0
1970/01/01/01:00:08.519000,0.0
1970/01/01/01:00:08.538000,0.0
1970/01/01/01:00:08.559000,0.0
1970/01/01/01:00:08.578000,0.0
1970/01/01/01:00:08.598000,0.0
1970/01/01/01:00:08.619000,0.0
1970/01/01/01:00:08.638000,0.0
1970/01/01/01:00:08.659000,0.0
1970/01/01/01:00:08.678000,0.0
1970/01/01/01:00:08.699000,0.0
1970/01/01/01:00:08.719000,0.0
1970/01/01/01:00:08.739000,0.0
1970/01/01/01:00:08.759000,0.0
1970/01/01/01:00:08.778000,0.0
1970/01/01/01:00:08.799000,0.0
1970/01/01/01:00:08.819000,0.0
1970/01/01/01:00:08.839000,0.0
1970/01/01/01:00:08.859000,0.0
1970/01/01/01:00:08.879000,0.0
1970/01/01/01:00:08.898000,0.0
1970/01/01/01:00:08.919000,0.0
1970/01/01/01:00:08.939000,0.0
1970/01/01/01:00:08.959000,0.0
1970/01/01/01:00:08.979000,0.0
1970/01/01/01:00:08.999000,0.0
1970/01/01/01:00:09.022000,0.0
1970/01/01/01:00:09.041000,0.0
1970/01/01/01:00:09.060000,0.0
1970/01/01/01:00:09.081000,0.0
1970/01/01/01:00:09.101000,0.0
1970/01/01/01:00:09.119000,0.0
1970/01/01/01:00:09.139000,0.0
1970/01/01/01:00:09.159000,0.0
1970/01/01/01:00:09.179000,0.0
1970/01/01/01:00:09.199000,0.0
1970/01/01/01:00:09.219000,0.0
1970/01/01/01:00:09.238000,0.0
1970/01/01/01:00:09.260000,0.0
1970/01/01/01:00:09.279000,0.0
1970/01/01/01:00:09.298000,0.0
1970/01/01/01:00:09.323000,0.0
1970/01/01/01:00:09.339000,0.0
1970/01/01/01:00:09.358000,0.0
1970/01/01/01:00:09.378000,0.0
1970/01/01/01:00:09.399000,0.0
1970/01/01/01:00:09.419000,0.0
1970/01/01/01:00:09.438000,0.0
1970/01/01/01:00:09.459000,0.0
1970/01/01/01:00:09.479000,0.0
1970/01/01/01:00:09.499000,0.0
1970/01/01/01:00:09.518000,0.0
1970/01/01/01:00:09.540000,0.0
1970/01/01/01:00:09.559000,0.0
1970/01/01/01:00:09.579000,0.0
1970/01/01/01:00:09.598000,0.0
1970/01/01/01:00:09.619000,0.0
1970/01/01/01:00:09.639000,0.0
1970/01/01/01:00:09.659000,0.0
1970/01/01/01:00:09.679000,0.0
1970/01/01/01:00:09.699000,0.0
1970/01/01/01:00:09.719000,0.0
1970/01/01/01:00:09.738000,0.0
1970/01/01/01:00:09.759000,0.0
1970/01/01/01:00:09.778000,0.0
1970/01/01/01:00:09.799000,0.0
1970/01/01/01:00:09.819000,0.0
1970/01/01/01:00:09.838000,0.0
1970/01/01/01:00:09.862000,0.0
1970/01/01/01:00:09.880000,0.0
1970/01/01/01:00:09.899000,0.0
1970/01/01/01:00:09.918000,0.0
1970/01/01/01:00:09.939000,0.0
1970/01/01/01:00:09.963000,0.0
1970/01/01/01:00:09.979000,0.0
1970/01/01/01:00:09.998000,0.0
1970/01/01/01:00:10.019000,0.0
1970/01/01/01:00:10.039000,0.0
1970/01/01/01:00:10.059000,0.0
1970/01/01/01:00:10.079000,0.0
1970/01/01/01:00:10.099000,0.0
1970/01/01/01:00:10.118000,0.0
1970/01/01/01:00:10.139000,0.0
1970/01/01/01:00:10.159000,0.0
1970/01/01/01:00:10.180000,0.0
1970/01/01/01:00:10.199000,0.0
1970/01/01/01:00:10.218000,0.0
1970/01/01/01:00:10.240000,0.0
1970/01/01/01:00:10.259000,0.0
1970/01/01/01:00:10.278000,0.0
1970/01/01/01:00:10.299000,0.0
1970/01/01/01:00:10.320000,0.0
1970/01/01/01:00:10.339000,0.0
1970/01/01/01:00:10.358000,0.0
1970/01/01/01:00:10.379000,0.0
1970/01/01/01:00:10.399000,0.0
1970/01/01/01:00:10.419000,0.0
1970/01/01/01:00:10.439000,0.0
1970/01/01/01:00:10.459000,0.0
1970/01/01/01:00:10.478000,0.0
1970/01/01/01:00:10.499000,0.0
1970/01/01/01:00:10.519000,0.0
1970/01/01/01:00:10.540000,0.0
1970/01/01/01:00:10.561000,0.0
1970/01/01/01:00:10.579000,0.0
1970/01/01/01:00:10.599000,0.0
1970/01/01/01:00:10.618000,0.0
1970/01/01/01:00:10.638000,0.0
1970/01/01/01:00:10.658000,1.0
1970/01/01/01:00:10.678000,1.0
1970/01/01/01:00:10.700000,1.0
1970/01/01/01:00:10.718000,1.0
1970/01/01/01:00:10.741000,1.0
1970/01/01/01:00:10.759000,1.0
1970/01/01/01:00:10.778000,1.0
1970/01/01/01:00:10.798000,1.0
1970/01/01/01:00:10.818000,1.0
1970/01/01/01:00:10.840000,1.0
1970/01/01/01:00:10.859000,1.0
1970/01/01/01:00:10.881000,1.0
1970/01/01/01:00:10.899000,1.0
1970/01/01/01:00:10.920000,1.0
1970/01/01/01:00:10.939000,1.0
1970/01/01/01:00:10.960000,1.0
1970/01/01/01:00:10.987000,1.0
1970/01/01/01:00:10.999000,1.0
1970/01/01/01:00:11.019000,1.0
1970/01/01/01:00:11.039000,1.0
1970/01/01/01:00:11.059000,0.861178096543
1970/01/01/01:00:11.079000,0.0951436414437
1970/01/01/01:00:11.101000,-1.0
1970/01/01/01:00:11.119000,-1.0
1970/01/01/01:00:11.139000,-1.0
1970/01/01/01:00:11.159000,-1.0
1970/01/01/01:00:11.178000,-1.0
1970/01/01/01:00:11.198000,-1.0
1970/01/01/01:00:11.218000,-1.0
1970/01/01/01:00:11.238000,-1.0
1970/01/01/01:00:11.258000,-1.0
