time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity,.acceleration
1970/01/01/01:00:00.438000,1,0,438000000,,2.0,0.0,0.0
1970/01/01/01:00:00.457000,2,0,457000000,,2.0,0.0,0.0
1970/01/01/01:00:00.478000,3,0,477000000,,2.0,0.0,0.0
1970/01/01/01:00:00.498000,4,0,498000000,,2.0,0.0,0.0
1970/01/01/01:00:00.517000,5,0,517000000,,2.0,0.0,0.0
1970/01/01/01:00:00.538000,6,0,537000000,,2.0,0.0,0.0
1970/01/01/01:00:00.558000,7,0,558000000,,2.0,0.0,0.0
1970/01/01/01:00:00.577000,8,0,577000000,,2.0,0.0,0.0
1970/01/01/01:00:00.598000,9,0,597000000,,2.0,0.0,0.0
1970/01/01/01:00:00.618000,10,0,618000000,,2.0,0.0,0.0
1970/01/01/01:00:00.638000,11,0,637000000,,2.0,0.0,0.0
1970/01/01/01:00:00.658000,12,0,657000000,,2.0,0.0,0.0
1970/01/01/01:00:00.695000,13,0,695000000,,2.0,0.0,0.0
1970/01/01/01:00:00.699000,14,0,698000000,,2.0,0.0,0.0
1970/01/01/01:00:00.718000,15,0,717000000,,2.0,0.0,0.0
1970/01/01/01:00:00.738000,16,0,737000000,,2.0,0.0,0.0
1970/01/01/01:00:00.758000,17,0,758000000,,2.0,0.0,0.0
1970/01/01/01:00:00.782000,18,0,781000000,,2.0,0.0,0.0
1970/01/01/01:00:00.798000,19,0,797000000,,2.0,0.0,0.0
1970/01/01/01:00:00.818000,20,0,818000000,,2.0,0.0,0.0
1970/01/01/01:00:00.837000,21,0,837000000,,2.0,0.0,0.0
1970/01/01/01:00:00.857000,22,0,857000000,,2.0,0.0,0.0
1970/01/01/01:00:00.877000,23,0,877000000,,2.0,0.0,0.0
1970/01/01/01:00:00.897000,24,0,897000000,,2.0,0.0,0.0
1970/01/01/01:00:00.918000,25,0,917000000,,2.0,0.0,0.0
1970/01/01/01:00:00.938000,26,0,937000000,,2.0,0.0,0.0
1970/01/01/01:00:00.958000,27,0,958000000,,2.0,0.0,0.0
1970/01/01/01:00:00.977000,28,0,977000000,,2.0,0.0,0.0
1970/01/01/01:00:00.998000,29,0,997000000,,2.0,0.0,0.0
1970/01/01/01:00:01.018000,30,1,18000000,,2.0,0.0,0.0
1970/01/01/01:00:01.038000,31,1,37000000,,2.0,0.0,0.0
1970/01/01/01:00:01.058000,32,1,58000000,,2.0,0.0,0.0
1970/01/01/01:00:01.078000,33,1,78000000,,2.0,0.0,0.0
1970/01/01/01:00:01.103000,34,1,103000000,,2.0,0.0,0.0
1970/01/01/01:00:01.118000,35,1,117000000,,2.0,0.0,0.0
1970/01/01/01:00:01.138000,36,1,137000000,,2.0,0.0,0.0
1970/01/01/01:00:01.157000,37,1,157000000,,2.0,0.0,0.0
1970/01/01/01:00:01.178000,38,1,178000000,,2.0,0.0,0.0
1970/01/01/01:00:01.197000,39,1,197000000,,2.0,0.0,0.0
1970/01/01/01:00:01.218000,40,1,217000000,,2.0,0.0,0.0
1970/01/01/01:00:01.238000,41,1,237000000,,2.0,0.0,0.0
1970/01/01/01:00:01.258000,42,1,258000000,,2.0,0.0,0.0
1970/01/01/01:00:01.277000,43,1,277000000,,2.0,0.0,0.0
1970/01/01/01:00:01.298000,44,1,297000000,,2.0,0.0,0.0
1970/01/01/01:00:01.317000,45,1,317000000,,2.0,0.0,0.0
1970/01/01/01:00:01.338000,46,1,337000000,,2.0,0.0,0.0
1970/01/01/01:00:01.358000,47,1,358000000,,2.0,0.0,0.0
1970/01/01/01:00:01.377000,48,1,377000000,,2.0,0.0,0.0
