time,.data
1970/01/01/01:00:05.311000,0.0
1970/01/01/01:00:05.330000,0.0
1970/01/01/01:00:05.350000,0.0
1970/01/01/01:00:05.369000,0.0
1970/01/01/01:00:05.389000,0.0
1970/01/01/01:00:05.414000,0.0
1970/01/01/01:00:05.429000,0.0
1970/01/01/01:00:05.450000,0.0
1970/01/01/01:00:05.472000,0.0
1970/01/01/01:00:05.490000,0.0
1970/01/01/01:00:05.509000,0.0
1970/01/01/01:00:05.530000,0.0
1970/01/01/01:00:05.550000,0.0
1970/01/01/01:00:05.570000,0.0
1970/01/01/01:00:05.590000,0.0
1970/01/01/01:00:05.609000,0.0
1970/01/01/01:00:05.629000,0.0
1970/01/01/01:00:05.649000,0.0
1970/01/01/01:00:05.669000,0.0
1970/01/01/01:00:05.693000,0.0
1970/01/01/01:00:05.720000,0.0
1970/01/01/01:00:05.730000,0.0
1970/01/01/01:00:05.750000,0.0
1970/01/01/01:00:05.770000,0.0
1970/01/01/01:00:05.790000,0.0
1970/01/01/01:00:05.810000,0.0
1970/01/01/01:00:05.830000,0.0
1970/01/01/01:00:05.851000,0.0
1970/01/01/01:00:05.869000,0.0
1970/01/01/01:00:05.895000,0.0
1970/01/01/01:00:05.912000,0.0
1970/01/01/01:00:05.932000,0.0
1970/01/01/01:00:05.951000,0.0
1970/01/01/01:00:05.972000,0.0
1970/01/01/01:00:05.991000,0.0
1970/01/01/01:00:06.010000,0.0
1970/01/01/01:00:06.029000,0.0
1970/01/01/01:00:06.050000,0.0
1970/01/01/01:00:06.069000,0.0
1970/01/01/01:00:06.089000,0.0
1970/01/01/01:00:06.111000,0.0
1970/01/01/01:00:06.129000,0.0
1970/01/01/01:00:06.149000,0.0
1970/01/01/01:00:06.170000,0.0
1970/01/01/01:00:06.190000,0.0
1970/01/01/01:00:06.210000,0.0
1970/01/01/01:00:06.230000,0.0
1970/01/01/01:00:06.249000,0.0
1970/01/01/01:00:06.270000,0.0
1970/01/01/01:00:06.290000,0.0
1970/01/01/01:00:06.310000,0.0
1970/01/01/01:00:06.330000,0.0
1970/01/01/01:00:06.350000,0.0
1970/01/01/01:00:06.370000,0.0
1970/01/01/01:00:06.390000,0.0
1970/01/01/01:00:06.410000,0.0
1970/01/01/01:00:06.430000,0.0
1970/01/01/01:00:06.449000,0.0
1970/01/01/01:00:06.470000,0.0
1970/01/01/01:00:06.489000,0.0
1970/01/01/01:00:06.510000,0.0
1970/01/01/01:00:06.529000,0.0
1970/01/01/01:00:06.550000,0.0
1970/01/01/01:00:06.569000,0.0
1970/01/01/01:00:06.590000,0.0
1970/01/01/01:00:06.610000,0.0
1970/01/01/01:00:06.629000,0.0
1970/01/01/01:00:06.649000,0.0
1970/01/01/01:00:06.670000,0.0
1970/01/01/01:00:06.690000,0.0
1970/01/01/01:00:06.709000,0.0
1970/01/01/01:00:06.730000,0.0
1970/01/01/01:00:06.750000,0.0
1970/01/01/01:00:06.770000,0.0
1970/01/01/01:00:06.790000,0.0
1970/01/01/01:00:06.810000,0.0
1970/01/01/01:00:06.830000,0.0
1970/01/01/01:00:06.850000,0.0
1970/01/01/01:00:06.869000,0.0
1970/01/01/01:00:06.889000,0.0
1970/01/01/01:00:06.910000,0.0
1970/01/01/01:00:06.930000,0.0
1970/01/01/01:00:06.950000,0.0
1970/01/01/01:00:06.970000,0.0
1970/01/01/01:00:06.989000,0.0
1970/01/01/01:00:07.010000,0.0
1970/01/01/01:00:07.029000,0.0
1970/01/01/01:00:07.049000,0.0
1970/01/01/01:00:07.069000,0.0
1970/01/01/01:00:07.089000,0.0
1970/01/01/01:00:07.109000,0.0
1970/01/01/01:00:07.130000,0.0
1970/01/01/01:00:07.150000,0.0
1970/01/01/01:00:07.169000,0.0
1970/01/01/01:00:07.190000,0.0
1970/01/01/01:00:07.209000,0.0
1970/01/01/01:00:07.230000,0.0
1970/01/01/01:00:07.250000,0.0
1970/01/01/01:00:07.276000,0.0
1970/01/01/01:00:07.290000,0.0
1970/01/01/01:00:07.311000,0.0
1970/01/01/01:00:07.329000,0.0
1970/01/01/01:00:07.356000,0.0
1970/01/01/01:00:07.370000,0.0
1970/01/01/01:00:07.390000,0.0
1970/01/01/01:00:07.410000,0.0
1970/01/01/01:00:07.431000,0.0
1970/01/01/01:00:07.450000,0.0
1970/01/01/01:00:07.470000,0.0
1970/01/01/01:00:07.497000,0.0
1970/01/01/01:00:07.511000,0.0
1970/01/01/01:00:07.529000,0.0
1970/01/01/01:00:07.549000,0.0
1970/01/01/01:00:07.570000,0.0
1970/01/01/01:00:07.590000,0.0
1970/01/01/01:00:07.610000,0.0
1970/01/01/01:00:07.629000,0.0
1970/01/01/01:00:07.651000,0.0
1970/01/01/01:00:07.671000,0.0
1970/01/01/01:00:07.689000,0.0
1970/01/01/01:00:07.709000,0.0
1970/01/01/01:00:07.730000,0.0
1970/01/01/01:00:07.749000,0.0
1970/01/01/01:00:07.769000,0.0
1970/01/01/01:00:07.790000,0.0
1970/01/01/01:00:07.810000,0.0
1970/01/01/01:00:07.830000,0.0
1970/01/01/01:00:07.850000,0.0
1970/01/01/01:00:07.870000,0.0
1970/01/01/01:00:07.890000,0.0
1970/01/01/01:00:07.910000,0.0
1970/01/01/01:00:07.930000,0.0
1970/01/01/01:00:07.949000,0.0
1970/01/01/01:00:07.970000,0.0
1970/01/01/01:00:07.990000,0.0
1970/01/01/01:00:08.009000,0.0
1970/01/01/01:00:08.030000,0.0
1970/01/01/01:00:08.050000,0.0
1970/01/01/01:00:08.069000,0.0
1970/01/01/01:00:08.089000,0.0
1970/01/01/01:00:08.110000,0.0
1970/01/01/01:00:08.130000,0.0
1970/01/01/01:00:08.150000,0.0
1970/01/01/01:00:08.170000,0.0
1970/01/01/01:00:08.192000,0.0
1970/01/01/01:00:08.210000,0.0
1970/01/01/01:00:08.230000,0.0
1970/01/01/01:00:08.249000,0.0
1970/01/01/01:00:08.269000,0.0
1970/01/01/01:00:08.290000,0.0
1970/01/01/01:00:08.310000,0.0
1970/01/01/01:00:08.329000,0.0
1970/01/01/01:00:08.350000,0.0
1970/01/01/01:00:08.370000,0.0
1970/01/01/01:00:08.389000,0.0
1970/01/01/01:00:08.410000,0.0
1970/01/01/01:00:08.430000,0.0
1970/01/01/01:00:08.450000,0.0
1970/01/01/01:00:08.469000,0.0
1970/01/01/01:00:08.489000,0.0
1970/01/01/01:00:08.510000,0.0
1970/01/01/01:00:08.530000,0.0
1970/01/01/01:00:08.549000,0.0
1970/01/01/01:00:08.569000,0.0
1970/01/01/01:00:08.590000,0.0
1970/01/01/01:00:08.610000,0.0
1970/01/01/01:00:08.630000,0.0
1970/01/01/01:00:08.655000,0.0
1970/01/01/01:00:08.669000,0.0
1970/01/01/01:00:08.690000,0.0
1970/01/01/01:00:08.710000,0.0
1970/01/01/01:00:08.730000,0.0
1970/01/01/01:00:08.749000,0.0
1970/01/01/01:00:08.770000,0.0
1970/01/01/01:00:08.790000,0.0
1970/01/01/01:00:08.810000,0.0
1970/01/01/01:00:08.830000,0.0
1970/01/01/01:00:08.849000,0.0
1970/01/01/01:00:08.870000,0.0
1970/01/01/01:00:08.890000,0.0
1970/01/01/01:00:08.910000,0.0
1970/01/01/01:00:08.929000,0.0
1970/01/01/01:00:08.950000,0.0
1970/01/01/01:00:08.970000,0.0
1970/01/01/01:00:08.990000,0.0
1970/01/01/01:00:09.010000,0.0
1970/01/01/01:00:09.030000,0.0
1970/01/01/01:00:09.050000,0.0
1970/01/01/01:00:09.069000,0.0
1970/01/01/01:00:09.089000,0.0
1970/01/01/01:00:09.110000,0.0
1970/01/01/01:00:09.129000,0.0
1970/01/01/01:00:09.150000,0.0
1970/01/01/01:00:09.170000,0.0
1970/01/01/01:00:09.189000,0.0
1970/01/01/01:00:09.210000,0.0
1970/01/01/01:00:09.229000,0.0
1970/01/01/01:00:09.250000,0.0
1970/01/01/01:00:09.271000,0.0
1970/01/01/01:00:09.289000,0.0
1970/01/01/01:00:09.310000,0.0
1970/01/01/01:00:09.329000,0.0
1970/01/01/01:00:09.349000,0.0
1970/01/01/01:00:09.371000,0.0
1970/01/01/01:00:09.390000,0.0
1970/01/01/01:00:09.409000,0.0
1970/01/01/01:00:09.430000,0.0
1970/01/01/01:00:09.450000,0.0
1970/01/01/01:00:09.470000,0.0
1970/01/01/01:00:09.489000,0.0
1970/01/01/01:00:09.510000,0.0
1970/01/01/01:00:09.530000,0.0
1970/01/01/01:00:09.550000,0.0
1970/01/01/01:00:09.571000,0.0
1970/01/01/01:00:09.589000,0.0
1970/01/01/01:00:09.610000,0.0
1970/01/01/01:00:09.630000,0.0
1970/01/01/01:00:09.649000,0.0
1970/01/01/01:00:09.670000,0.0
1970/01/01/01:00:09.689000,0.0
1970/01/01/01:00:09.709000,0.0
1970/01/01/01:00:09.730000,0.0
1970/01/01/01:00:09.749000,0.0
1970/01/01/01:00:09.770000,0.0
1970/01/01/01:00:09.790000,0.0
1970/01/01/01:00:09.810000,0.0
1970/01/01/01:00:09.830000,0.0
1970/01/01/01:00:09.850000,0.0
1970/01/01/01:00:09.869000,0.0
1970/01/01/01:00:09.890000,0.0
1970/01/01/01:00:09.909000,0.0
1970/01/01/01:00:09.930000,0.0
1970/01/01/01:00:09.950000,0.0
1970/01/01/01:00:09.972000,0.0
1970/01/01/01:00:09.989000,0.0
1970/01/01/01:00:10.010000,0.0
1970/01/01/01:00:10.029000,0.0
1970/01/01/01:00:10.049000,0.0
1970/01/01/01:00:10.070000,0.0
1970/01/01/01:00:10.090000,0.0
1970/01/01/01:00:10.109000,0.0
1970/01/01/01:00:10.135000,0.0
1970/01/01/01:00:10.149000,0.0
1970/01/01/01:00:10.169000,0.0
1970/01/01/01:00:10.190000,0.0
1970/01/01/01:00:10.209000,0.0
1970/01/01/01:00:10.230000,0.0
1970/01/01/01:00:10.249000,0.0
