time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
1970/01/01/01:00:00.642000,9,0,641000000,map,108322.83191,0.0
1970/01/01/01:00:00.663000,10,0,662000000,map,108379.909934,0.0
1970/01/01/01:00:00.684000,11,0,683000000,map,108392.919826,0.0
1970/01/01/01:00:00.705000,12,0,704000000,map,108293.094086,0.0
1970/01/01/01:00:00.726000,13,0,725000000,map,108214.464744,0.0
1970/01/01/01:00:00.747000,14,0,746000000,map,108259.835788,0.0
1970/01/01/01:00:00.768000,15,0,767000000,map,108484.262094,0.0
1970/01/01/01:00:00.789000,16,0,788000000,map,108358.120181,0.0
1970/01/01/01:00:00.810000,17,0,809000000,map,108192.645383,0.0
1970/01/01/01:00:00.831000,18,0,830000000,map,108333.980783,0.0
1970/01/01/01:00:00.852000,19,0,851000000,map,108183.907516,0.0
1970/01/01/01:00:00.873000,20,0,873000000,map,108236.701663,0.0
1970/01/01/01:00:00.894000,21,0,893000000,map,108351.019353,0.0
1970/01/01/01:00:00.915000,22,0,914000000,map,108397.296619,0.0
1970/01/01/01:00:00.936000,23,0,935000000,map,108502.680156,0.0
1970/01/01/01:00:00.957000,24,0,956000000,map,108371.536595,0.0
1970/01/01/01:00:00.978000,25,0,977000000,map,108237.810321,0.0
1970/01/01/01:00:00.998000,26,0,998000000,map,108465.383296,0.0
1970/01/01/01:00:01.020000,27,1,19000000,map,108317.621226,0.0
1970/01/01/01:00:01.041000,28,1,40000000,map,108284.934015,0.0
1970/01/01/01:00:01.062000,29,1,61000000,map,108345.740161,0.0
1970/01/01/01:00:01.083000,30,1,82000000,map,108225.081227,0.0
1970/01/01/01:00:01.104000,31,1,103000000,map,108314.377614,0.0
1970/01/01/01:00:01.125000,32,1,124000000,map,108350.032247,0.0
1970/01/01/01:00:01.146000,33,1,145000000,map,108299.524233,0.0
1970/01/01/01:00:01.167000,34,1,166000000,map,108424.74923,0.0
1970/01/01/01:00:01.188000,35,1,187000000,map,108225.442572,0.0
1970/01/01/01:00:01.209000,36,1,208000000,map,108153.508725,0.0
1970/01/01/01:00:01.230000,37,1,229000000,map,108181.66873,0.0
1970/01/01/01:00:01.251000,38,1,250000000,map,108214.319966,0.0
1970/01/01/01:00:01.272000,39,1,271000000,map,108246.833528,0.0
1970/01/01/01:00:01.293000,40,1,292000000,map,108396.817918,0.0
1970/01/01/01:00:01.314000,41,1,313000000,map,108289.859184,0.0
1970/01/01/01:00:01.335000,42,1,334000000,map,108396.642674,0.0
1970/01/01/01:00:01.356000,43,1,355000000,map,108243.010368,0.0
1970/01/01/01:00:01.377000,44,1,376000000,map,108294.82535,0.0
1970/01/01/01:00:01.398000,45,1,397000000,map,108431.532165,0.0
1970/01/01/01:00:01.419000,46,1,418000000,map,108424.762521,0.0
1970/01/01/01:00:01.440000,47,1,439000000,map,108159.431765,0.0
1970/01/01/01:00:01.461000,48,1,460000000,map,108262.629655,0.0
1970/01/01/01:00:01.482000,49,1,481000000,map,108313.38488,0.0
1970/01/01/01:00:01.503000,50,1,502000000,map,108294.716914,0.0
1970/01/01/01:00:01.524000,51,1,523000000,map,108357.456912,0.0
1970/01/01/01:00:01.545000,52,1,544000000,map,108438.390472,0.0
1970/01/01/01:00:01.566000,53,1,565000000,map,108210.598048,0.0
1970/01/01/01:00:01.587000,54,1,586000000,map,108440.106521,0.0
1970/01/01/01:00:01.608000,55,1,607000000,map,108403.168377,0.0
1970/01/01/01:00:01.629000,56,1,628000000,map,108323.693005,0.0
1970/01/01/01:00:01.650000,57,1,649000000,map,108417.061858,0.0
1970/01/01/01:00:01.671000,58,1,670000000,map,108315.788681,0.0
1970/01/01/01:00:01.692000,59,1,691000000,map,108255.713667,0.0
1970/01/01/01:00:01.713000,60,1,712000000,map,108298.616823,0.0
1970/01/01/01:00:01.734000,61,1,733000000,map,108129.908387,0.0
1970/01/01/01:00:01.755000,62,1,754000000,map,108278.694272,0.0
1970/01/01/01:00:01.776000,63,1,775000000,map,108130.017177,0.0
1970/01/01/01:00:01.797000,64,1,796000000,map,108275.365008,0.0
1970/01/01/01:00:01.818000,65,1,817000000,map,108338.794028,0.0
1970/01/01/01:00:01.839000,66,1,838000000,map,108280.392996,0.0
1970/01/01/01:00:01.860000,67,1,859000000,map,108133.13857,0.0
1970/01/01/01:00:01.881000,68,1,880000000,map,108233.276891,0.0
1970/01/01/01:00:01.902000,69,1,901000000,map,108037.092209,0.0
1970/01/01/01:00:01.923000,70,1,922000000,map,108244.559498,0.0
1970/01/01/01:00:01.944000,71,1,943000000,map,108238.878645,0.0
1970/01/01/01:00:01.965000,72,1,965000000,map,108332.366323,0.0
1970/01/01/01:00:01.986000,73,1,985000000,map,108269.271033,0.0
1970/01/01/01:00:02.007000,74,2,6000000,map,108294.218038,0.0
1970/01/01/01:00:02.028000,75,2,27000000,map,108178.756841,0.0
1970/01/01/01:00:02.049000,76,2,48000000,map,108210.29489,0.0
1970/01/01/01:00:02.070000,77,2,70000000,map,108383.267643,0.0
1970/01/01/01:00:02.091000,78,2,90000000,map,108192.263964,0.0
1970/01/01/01:00:02.112000,79,2,111000000,map,108305.669604,0.0
1970/01/01/01:00:02.133000,80,2,132000000,map,108181.279583,0.0
1970/01/01/01:00:02.155000,81,2,153000000,map,108330.744523,0.0
1970/01/01/01:00:02.175000,82,2,174000000,map,108234.54141,0.0
1970/01/01/01:00:02.196000,83,2,195000000,map,108216.205937,0.0
1970/01/01/01:00:02.217000,84,2,216000000,map,108203.478323,0.0
1970/01/01/01:00:02.238000,85,2,237000000,map,108255.065207,0.0
1970/01/01/01:00:02.259000,86,2,258000000,map,108144.161275,0.0
1970/01/01/01:00:02.280000,87,2,279000000,map,108219.091163,0.0
1970/01/01/01:00:02.301000,88,2,300000000,map,108441.126057,0.0
1970/01/01/01:00:02.322000,89,2,321000000,map,108115.012796,0.0
1970/01/01/01:00:02.343000,90,2,342000000,map,108022.683988,0.0
1970/01/01/01:00:02.364000,91,2,363000000,map,108139.636401,0.0
1970/01/01/01:00:02.385000,92,2,384000000,map,108126.310219,0.0
1970/01/01/01:00:02.406000,93,2,406000000,map,108292.587069,0.0
1970/01/01/01:00:02.427000,94,2,426000000,map,108251.571791,0.0
