time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
1970/01/01/01:00:00.647000,5,0,646000000,map,108268.709796,0.0
1970/01/01/01:00:00.668000,6,0,667000000,map,108189.66742,0.0
1970/01/01/01:00:00.689000,7,0,688000000,map,108257.367526,0.0
1970/01/01/01:00:00.710000,8,0,709000000,map,108421.524944,0.0
1970/01/01/01:00:00.731000,9,0,730000000,map,108322.83191,0.0
1970/01/01/01:00:00.752000,10,0,752000000,map,108379.909934,0.0
1970/01/01/01:00:00.773000,11,0,772000000,map,108392.919826,0.0
1970/01/01/01:00:00.794000,12,0,793000000,map,108293.094086,0.0
1970/01/01/01:00:00.815000,13,0,814000000,map,108214.464744,0.0
1970/01/01/01:00:00.836000,14,0,835000000,map,108259.835788,0.0
1970/01/01/01:00:00.857000,15,0,856000000,map,108484.262094,0.0
1970/01/01/01:00:00.878000,16,0,877000000,map,108358.120181,0.0
1970/01/01/01:00:00.899000,17,0,898000000,map,108192.645383,0.0
1970/01/01/01:00:00.920000,18,0,919000000,map,108333.980783,0.0
1970/01/01/01:00:00.941000,19,0,940000000,map,108183.907516,0.0
1970/01/01/01:00:00.962000,20,0,961000000,map,108236.701663,0.0
1970/01/01/01:00:00.983000,21,0,982000000,map,108351.019353,0.0
1970/01/01/01:00:01.004000,22,1,3000000,map,108397.296619,0.0
1970/01/01/01:00:01.025000,23,1,24000000,map,108502.680156,0.0
1970/01/01/01:00:01.046000,24,1,45000000,map,108371.536595,0.0
1970/01/01/01:00:01.067000,25,1,66000000,map,108237.810321,0.0
1970/01/01/01:00:01.088000,26,1,87000000,map,108465.383296,0.0
1970/01/01/01:00:01.109000,27,1,108000000,map,108317.621226,0.0
1970/01/01/01:00:01.130000,28,1,129000000,map,108284.934015,0.0
1970/01/01/01:00:01.151000,29,1,150000000,map,108345.740161,0.0
1970/01/01/01:00:01.172000,30,1,171000000,map,108225.081227,0.0
1970/01/01/01:00:01.193000,31,1,192000000,map,108314.377614,0.0
1970/01/01/01:00:01.214000,32,1,213000000,map,108350.032247,0.0
1970/01/01/01:00:01.235000,33,1,234000000,map,108299.524233,0.0
1970/01/01/01:00:01.254000,34,1,255000000,map,108424.74923,0.0
1970/01/01/01:00:01.277000,35,1,276000000,map,108225.442572,0.0
1970/01/01/01:00:01.298000,36,1,297000000,map,108153.508725,0.0
1970/01/01/01:00:01.319000,37,1,318000000,map,108181.66873,0.0
1970/01/01/01:00:01.340000,38,1,339000000,map,108214.319966,0.0
