time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
1970/01/01/01:00:00.628000,6,0,627000000,map,108189.66742,0.0
1970/01/01/01:00:00.649000,7,0,648000000,map,108257.367526,0.0
1970/01/01/01:00:00.670000,8,0,669000000,map,108421.524944,0.0
1970/01/01/01:00:00.691000,9,0,690000000,map,108322.83191,0.0
1970/01/01/01:00:00.712000,10,0,711000000,map,108379.909934,0.0
1970/01/01/01:00:00.733000,11,0,732000000,map,108392.919826,0.0
1970/01/01/01:00:00.754000,12,0,753000000,map,108293.094086,0.0
1970/01/01/01:00:00.775000,13,0,774000000,map,108214.464744,0.0
1970/01/01/01:00:00.796000,14,0,795000000,map,108259.835788,0.0
1970/01/01/01:00:00.817000,15,0,816000000,map,108484.262094,0.0
1970/01/01/01:00:00.838000,16,0,837000000,map,108358.120181,0.0
1970/01/01/01:00:00.859000,17,0,858000000,map,108192.645383,0.0
1970/01/01/01:00:00.880000,18,0,879000000,map,108333.980783,0.0
1970/01/01/01:00:00.901000,19,0,900000000,map,108183.907516,0.0
1970/01/01/01:00:00.922000,20,0,921000000,map,108236.701663,0.0
1970/01/01/01:00:00.943000,21,0,942000000,map,108351.019353,0.0
1970/01/01/01:00:00.964000,22,0,963000000,map,108397.296619,0.0
1970/01/01/01:00:00.985000,23,0,984000000,map,108502.680156,0.0
1970/01/01/01:00:01.006000,24,1,5000000,map,108371.536595,0.0
1970/01/01/01:00:01.027000,25,1,26000000,map,108237.810321,0.0
1970/01/01/01:00:01.048000,26,1,47000000,map,108465.383296,0.0
1970/01/01/01:00:01.069000,27,1,68000000,map,108317.621226,0.0
1970/01/01/01:00:01.090000,28,1,89000000,map,108284.934015,0.0
1970/01/01/01:00:01.111000,29,1,110000000,map,108345.740161,0.0
1970/01/01/01:00:01.132000,30,1,131000000,map,108225.081227,0.0
1970/01/01/01:00:01.153000,31,1,152000000,map,108314.377614,0.0
1970/01/01/01:00:01.174000,32,1,173000000,map,108350.032247,0.0
1970/01/01/01:00:01.195000,33,1,194000000,map,108299.524233,0.0
1970/01/01/01:00:01.216000,34,1,215000000,map,108424.74923,0.0
1970/01/01/01:00:01.237000,35,1,236000000,map,108225.442572,0.0
1970/01/01/01:00:01.258000,36,1,257000000,map,108153.508725,0.0
1970/01/01/01:00:01.279000,37,1,278000000,map,108181.66873,0.0
1970/01/01/01:00:01.300000,38,1,299000000,map,108214.319966,0.0
1970/01/01/01:00:01.321000,39,1,320000000,map,108246.833528,0.0
1970/01/01/01:00:01.342000,40,1,341000000,map,108396.817918,0.0
1970/01/01/01:00:01.363000,41,1,362000000,map,108289.859184,0.0
1970/01/01/01:00:01.384000,42,1,383000000,map,108396.642674,0.0
1970/01/01/01:00:01.405000,43,1,404000000,map,108243.010368,0.0
1970/01/01/01:00:01.426000,44,1,425000000,map,108294.82535,0.0
1970/01/01/01:00:01.447000,45,1,446000000,map,108431.532165,0.0
1970/01/01/01:00:01.468000,46,1,467000000,map,108424.762521,0.0
1970/01/01/01:00:01.489000,47,1,488000000,map,108159.431765,0.0
1970/01/01/01:00:01.510000,48,1,509000000,map,108262.629655,0.0
1970/01/01/01:00:01.531000,49,1,530000000,map,108313.38488,0.0
1970/01/01/01:00:01.552000,50,1,551000000,map,108294.716914,0.0
1970/01/01/01:00:01.573000,51,1,572000000,map,108357.456912,0.0
1970/01/01/01:00:01.594000,52,1,593000000,map,108438.390472,0.0
1970/01/01/01:00:01.615000,53,1,614000000,map,108210.598048,0.0
1970/01/01/01:00:01.636000,54,1,635000000,map,108440.106521,0.0
1970/01/01/01:00:01.657000,55,1,656000000,map,108403.168377,0.0
1970/01/01/01:00:01.678000,56,1,677000000,map,108323.693005,0.0
1970/01/01/01:00:01.699000,57,1,698000000,map,108417.061858,0.0
