time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
1970/01/01/01:00:12.174000,0,12,176000000,base_link,0.000297900488563,-7.78127579353e-05,-0.674819096401,-0.737983124694,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00704281730577,0.00761405844241,-0.000469151011202,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",-0.0818536505103,-0.0626441314816,9.91457080841,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.202000,1,12,202000000,base_link,0.000297900490141,-7.7812734144e-05,-0.674819142116,-0.737983175181,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00704281730577,0.00761405844241,-0.000469151011202,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",-0.0818536505103,-0.0626441314816,9.91457080841,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.205000,2,12,205000000,base_link,0.000371919421403,-7.85802163192e-05,-0.674848210271,-0.73795646725,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00025003310293,-0.00090452702716,0.0111279906705,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",-1.09743773937,0.00144837412518,9.68039417267,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.215000,3,12,214000000,base_link,0.000383370553449,-0.00016902538788,-0.675070742997,-0.737752900606,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",0.00373748876154,0.0104565983638,0.0343561992049,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",-2.05051016808,0.0250975564122,9.81519603729,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.235000,4,12,234000000,base_link,0.000379233463662,-0.000168845759576,-0.675746425467,-0.737134032088,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",0.00129502650816,-0.00588841410354,0.1053192541,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",-2.6223359108,-0.063703417778,9.89150047302,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.254000,5,12,253000000,base_link,0.00037123469975,-0.000154151820605,-0.676853288637,-0.73611795323,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",0.000310022209305,-0.00243784161285,0.161221921444,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",0.0520831868052,0.120945870876,10.1931447983,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.274000,6,12,274000000,base_link,0.000389046774938,-0.00013339720392,-0.677930572621,-0.735125805879,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.0058380747214,-0.00105895614251,0.151521638036,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",0.0752369835973,0.0572605095804,10.1770944595,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.293000,7,12,294000000,base_link,0.000467126003523,-0.000148923738654,-0.679026859566,-0.734113222575,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00547039043158,0.00691880937666,0.151022166014,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",0.0096044363454,-0.200876906514,10.1852045059,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.314000,8,12,314000000,base_link,0.000470488151059,-0.000105457383034,-0.680028695424,-0.733185396584,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00437352666631,-0.00288608646952,0.138123586774,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",-0.0113986907527,-0.114440828562,10.300034523,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.334000,9,12,334000000,base_link,0.000526857647048,-9.39271536182e-05,-0.681039213532,-0.732246780999,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00222174311057,0.00196850742213,0.135656893253,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",0.0293929837644,0.0516831353307,10.2072401047,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.354000,10,12,353000000,base_link,0.00055659788746,-5.60301809305e-05,-0.681920016811,-0.731426669181,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00637441501021,-0.0018279615324,0.12594743073,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",-0.00342498882674,0.182355746627,10.1166343689,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.374000,11,12,374000000,base_link,0.000520011336025,-3.48045094166e-05,-0.682754255726,-0.730647979813,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",0.00043535628356,0.00132611824665,0.111951671541,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",0.0571013763547,0.0623572915792,10.0745105743,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.394000,12,12,394000000,base_link,0.000585355702943,-4.86930484539e-05,-0.683485909211,-0.729963530799,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00419611576945,0.00582395773381,0.101251713932,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",0.0871378257871,0.0820545479655,9.97857570648,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.414000,13,12,414000000,base_link,0.0005764154056,-3.24374329127e-07,-0.684179959805,-0.729312975753,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00124290038366,-0.00623398041353,0.0957033783197,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",-0.101450838149,0.0692609399557,10.3938112259,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.434000,14,12,433000000,base_link,0.000712984880153,-0.000116305566134,-0.68490685333,-0.728630252125,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00289741996676,0.0182194057852,0.102084070444,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",-0.00199193041772,0.105235949159,10.0638275146,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
1970/01/01/01:00:12.455000,15,12,454000000,base_link,0.000739236913204,-0.000102949233957,-0.685507175918,-0.728065501477,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",-0.00398141564801,0.00185364927165,0.0769187062979,"(1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07)",-0.0711093991995,-0.0384523198009,10.1962375641,"(8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08)"
