time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity,.acceleration
1970/01/01/01:00:00.129000,1,0,128000000,,-0.548633396626,0.0471219345927,-0.000134875444928
1970/01/01/01:00:00.147000,2,0,147000000,,-0.547738134861,0.0471185334027,-0.000223236726015
1970/01/01/01:00:00.167000,3,0,166000000,,-0.546842932701,0.0471134521067,-0.000311590061756
1970/01/01/01:00:00.186000,4,0,186000000,,-0.545900702477,0.0471062883735,-0.000404581543989
1970/01/01/01:00:00.207000,5,0,206000000,,-0.54495871067,0.0470972694457,-0.00049755704822
1970/01/01/01:00:00.227000,6,0,226000000,,-0.544016838074,0.0470863878727,-0.000590512878262
1970/01/01/01:00:00.247000,7,0,246000000,,-0.5430752635,0.0470736473799,-0.000683445425238
1970/01/01/01:00:00.267000,8,0,267000000,,-0.542086839676,0.0470582693815,-0.00078099546954
1970/01/01/01:00:00.286000,9,0,286000000,,-0.541192889214,0.0470425933599,-0.000869225885253
1970/01/01/01:00:00.306000,10,0,306000000,,-0.54025220871,0.0470242798328,-0.000962066464126
1970/01/01/01:00:00.327000,11,0,326000000,,-0.539311945438,0.0470041111112,-0.0010548690334
1970/01/01/01:00:00.347000,12,0,346000000,,-0.5383720994,0.0469820871949,-0.0011476300424
1970/01/01/01:00:00.366000,13,0,366000000,,-0.537432670593,0.0469582080841,-0.00124034564942
1970/01/01/01:00:00.387000,14,0,387000000,,-0.536493778229,0.0469324737787,-0.00133301236201
1970/01/01/01:00:00.407000,15,0,407000000,,-0.535555362701,0.0469048880041,-0.00142562645487
1970/01/01/01:00:00.427000,16,0,427000000,,-0.53457069397,0.0468739271164,-0.00152281054761
1970/01/01/01:00:00.446000,17,0,446000000,,-0.533680379391,0.0468441583216,-0.0016106821131
1970/01/01/01:00:00.467000,18,0,466000000,,-0.532743811607,0.0468110218644,-0.00170311634429
1970/01/01/01:00:00.487000,19,0,486000000,,-0.53180795908,0.0467760339379,-0.00179548340384
1970/01/01/01:00:00.506000,20,0,506000000,,-0.530872821808,0.0467392019928,-0.00188777956646
1970/01/01/01:00:00.526000,21,0,526000000,,-0.529938399792,0.0467005260289,-0.00198000110686
1970/01/01/01:00:00.547000,22,0,546000000,,-0.529004812241,0.046660002321,-0.00207214453258
1970/01/01/01:00:00.567000,23,0,566000000,,-0.52807199955,0.0466176383197,-0.00216420623474
1970/01/01/01:00:00.586000,24,0,586000000,,-0.527140080929,0.046573434025,-0.00225618248805
1970/01/01/01:00:00.607000,25,0,606000000,,-0.526209056377,0.0465273931623,-0.00234806956723
1970/01/01/01:00:00.627000,26,0,627000000,,-0.525232553482,0.0464770719409,-0.00244445120916
1970/01/01/01:00:00.647000,27,0,647000000,,-0.524349927902,0.046429798007,-0.00253156223334
1970/01/01/01:00:00.667000,28,0,667000000,,-0.523375451565,0.0463756248355,-0.00262773758732
1970/01/01/01:00:00.687000,29,0,687000000,,-0.522494792938,0.0463248714805,-0.00271465489641
1970/01/01/01:00:00.707000,30,0,707000000,,-0.521522581577,0.0462668575346,-0.00281060882844
1970/01/01/01:00:00.727000,31,0,726000000,,-0.520644009113,0.0462126322091,-0.00289731891826
1970/01/01/01:00:00.747000,32,0,747000000,,-0.519720375538,0.0461537726223,-0.00298848142847
1970/01/01/01:00:00.766000,33,0,766000000,,-0.518797874451,0.046093095094,-0.00307952566072
1970/01/01/01:00:00.787000,34,0,786000000,,-0.517876625061,0.0460305921733,-0.00317044835538
1970/01/01/01:00:00.806000,35,0,806000000,,-0.516956686974,0.0459662750363,-0.00326124601997
1970/01/01/01:00:00.827000,36,0,827000000,,-0.515992105007,0.0458967909217,-0.0033564446494
1970/01/01/01:00:00.848000,37,0,847000000,,-0.515074849129,0.045828755945,-0.00344697455876
1970/01/01/01:00:00.866000,38,0,866000000,,-0.514204740524,0.0457624457777,-0.00353285181336
1970/01/01/01:00:00.887000,39,0,886000000,,-0.513290166855,0.0456908866763,-0.00362311303616
1970/01/01/01:00:00.907000,40,0,906000000,,-0.512377083302,0.0456175245345,-0.0037132310681
1970/01/01/01:00:00.927000,41,0,927000000,,-0.511465489864,0.0455423593521,-0.00380320264958
1970/01/01/01:00:00.947000,42,0,946000000,,-0.510555446148,0.0454653985798,-0.00389302382246
1970/01/01/01:00:00.977000,43,0,966000000,,-0.509646892548,0.0453866384923,-0.00398269155994
1970/01/01/01:00:00.987000,44,0,986000000,,-0.508739948273,0.0453060902655,-0.00407220190391
1970/01/01/01:00:01.007000,45,1,7000000,,-0.507789433002,0.0452195890248,-0.00416601495817
1970/01/01/01:00:01.027000,46,1,26000000,,-0.506931006908,0.0451396293938,-0.00425073690712
1970/01/01/01:00:01.047000,47,1,46000000,,-0.506029069424,0.0450537241995,-0.00433975458145
1970/01/01/01:00:01.068000,48,1,67000000,,-0.505083918571,0.0449616089463,-0.00443303864449
1970/01/01/01:00:01.087000,49,1,86000000,,-0.504230439663,0.0448765829206,-0.00451727211475
1970/01/01/01:00:01.107000,50,1,107000000,,-0.503333866596,0.0447853505611,-0.00460576545447
1970/01/01/01:00:01.127000,51,1,126000000,,-0.502439081669,0.0446923524141,-0.00469407672063
1970/01/01/01:00:01.147000,52,1,146000000,,-0.501546144485,0.0445975884795,-0.00478220265359
1970/01/01/01:00:01.167000,53,1,166000000,,-0.500655174255,0.0445010662079,-0.00487013952807
1970/01/01/01:00:01.188000,54,1,186000000,,-0.499766141176,0.0444027855992,-0.00495788455009
