time,.data
1970/01/01/01:00:05.491000,0.0
1970/01/01/01:00:05.503000,0.0
1970/01/01/01:00:05.522000,0.0
1970/01/01/01:00:05.542000,0.0
1970/01/01/01:00:05.562000,0.0
1970/01/01/01:00:05.583000,0.0
1970/01/01/01:00:05.601000,0.0
1970/01/01/01:00:05.623000,0.0
1970/01/01/01:00:05.642000,0.0
1970/01/01/01:00:05.662000,0.0
1970/01/01/01:00:05.681000,0.0
1970/01/01/01:00:05.702000,0.0
1970/01/01/01:00:05.723000,0.0
1970/01/01/01:00:05.742000,0.0
1970/01/01/01:00:05.762000,0.0
1970/01/01/01:00:05.782000,0.0
1970/01/01/01:00:05.802000,0.0
1970/01/01/01:00:05.821000,0.0
1970/01/01/01:00:05.842000,0.0
1970/01/01/01:00:05.861000,0.0
1970/01/01/01:00:05.883000,0.0
1970/01/01/01:00:05.901000,0.0
1970/01/01/01:00:05.922000,0.0
1970/01/01/01:00:05.941000,0.0
1970/01/01/01:00:05.962000,0.0
1970/01/01/01:00:05.982000,0.0
1970/01/01/01:00:06.003000,0.0
1970/01/01/01:00:06.022000,0.0
1970/01/01/01:00:06.042000,0.0
1970/01/01/01:00:06.062000,0.0
1970/01/01/01:00:06.082000,0.0
1970/01/01/01:00:06.102000,0.0
1970/01/01/01:00:06.122000,0.0
1970/01/01/01:00:06.141000,0.0
1970/01/01/01:00:06.162000,0.0
1970/01/01/01:00:06.184000,0.0
1970/01/01/01:00:06.201000,0.0
1970/01/01/01:00:06.222000,0.0
1970/01/01/01:00:06.241000,0.0
1970/01/01/01:00:06.262000,0.0
1970/01/01/01:00:06.281000,0.0
1970/01/01/01:00:06.301000,0.0
1970/01/01/01:00:06.321000,0.0
1970/01/01/01:00:06.342000,0.0
1970/01/01/01:00:06.362000,0.0
1970/01/01/01:00:06.383000,0.0
1970/01/01/01:00:06.403000,0.0
1970/01/01/01:00:06.423000,0.0
1970/01/01/01:00:06.442000,0.0
1970/01/01/01:00:06.464000,0.0
1970/01/01/01:00:06.483000,0.0
1970/01/01/01:00:06.502000,0.0
1970/01/01/01:00:06.522000,0.0
1970/01/01/01:00:06.542000,0.0
1970/01/01/01:00:06.562000,0.0
1970/01/01/01:00:06.581000,0.0
1970/01/01/01:00:06.602000,0.0
1970/01/01/01:00:06.622000,0.0
1970/01/01/01:00:06.642000,0.0
1970/01/01/01:00:06.662000,0.0
1970/01/01/01:00:06.682000,0.0
1970/01/01/01:00:06.704000,0.0
1970/01/01/01:00:06.730000,0.0
1970/01/01/01:00:06.742000,0.0
1970/01/01/01:00:06.761000,0.0
1970/01/01/01:00:06.782000,0.0
1970/01/01/01:00:06.803000,0.0
1970/01/01/01:00:06.822000,0.0
1970/01/01/01:00:06.842000,0.0
1970/01/01/01:00:06.862000,0.0
1970/01/01/01:00:06.883000,0.0
1970/01/01/01:00:06.903000,0.0
1970/01/01/01:00:06.922000,0.0
1970/01/01/01:00:06.942000,0.0
1970/01/01/01:00:06.962000,0.0
1970/01/01/01:00:06.982000,0.0
1970/01/01/01:00:07.002000,0.0
1970/01/01/01:00:07.022000,0.0
1970/01/01/01:00:07.042000,0.0
1970/01/01/01:00:07.063000,0.0
1970/01/01/01:00:07.082000,0.0
1970/01/01/01:00:07.102000,0.0
1970/01/01/01:00:07.123000,0.0
1970/01/01/01:00:07.141000,0.0
1970/01/01/01:00:07.162000,0.0
1970/01/01/01:00:07.182000,0.0
1970/01/01/01:00:07.202000,0.0
1970/01/01/01:00:07.223000,0.0
1970/01/01/01:00:07.241000,0.0
1970/01/01/01:00:07.262000,0.0
1970/01/01/01:00:07.283000,0.0
1970/01/01/01:00:07.303000,0.0
1970/01/01/01:00:07.321000,0.0
1970/01/01/01:00:07.342000,0.0
1970/01/01/01:00:07.362000,0.0
1970/01/01/01:00:07.382000,0.0
1970/01/01/01:00:07.402000,0.0
1970/01/01/01:00:07.421000,0.0
1970/01/01/01:00:07.442000,0.0
1970/01/01/01:00:07.462000,0.0
1970/01/01/01:00:07.481000,0.0
1970/01/01/01:00:07.502000,0.0
1970/01/01/01:00:07.521000,0.0
1970/01/01/01:00:07.542000,0.0
1970/01/01/01:00:07.562000,0.0
1970/01/01/01:00:07.582000,0.0
1970/01/01/01:00:07.601000,0.0
1970/01/01/01:00:07.621000,0.0
1970/01/01/01:00:07.643000,0.0
1970/01/01/01:00:07.662000,0.0
1970/01/01/01:00:07.682000,0.0
1970/01/01/01:00:07.703000,0.0
1970/01/01/01:00:07.722000,0.0
1970/01/01/01:00:07.743000,0.0
1970/01/01/01:00:07.762000,0.0
1970/01/01/01:00:07.781000,0.0
1970/01/01/01:00:07.802000,0.0
1970/01/01/01:00:07.822000,0.0
