time,.data
1970/01/01/01:00:05.506000,0.0
1970/01/01/01:00:05.521000,0.0
1970/01/01/01:00:05.545000,0.0
1970/01/01/01:00:05.561000,0.0
1970/01/01/01:00:05.581000,0.0
1970/01/01/01:00:05.600000,0.0
1970/01/01/01:00:05.620000,0.0
1970/01/01/01:00:05.641000,0.0
1970/01/01/01:00:05.661000,0.0
1970/01/01/01:00:05.680000,0.0
1970/01/01/01:00:05.700000,0.0
1970/01/01/01:00:05.721000,0.0
1970/01/01/01:00:05.740000,0.0
1970/01/01/01:00:05.761000,0.0
1970/01/01/01:00:05.781000,0.0
1970/01/01/01:00:05.800000,0.0
1970/01/01/01:00:05.821000,0.0
1970/01/01/01:00:05.841000,0.0
1970/01/01/01:00:05.860000,0.0
1970/01/01/01:00:05.882000,0.0
1970/01/01/01:00:05.900000,0.0
1970/01/01/01:00:05.921000,0.0
1970/01/01/01:00:05.943000,0.0
1970/01/01/01:00:05.960000,0.0
1970/01/01/01:00:05.988000,0.0
1970/01/01/01:00:06.001000,0.0
1970/01/01/01:00:06.021000,0.0
1970/01/01/01:00:06.041000,0.0
1970/01/01/01:00:06.062000,0.0
1970/01/01/01:00:06.081000,0.0
1970/01/01/01:00:06.101000,0.0
1970/01/01/01:00:06.120000,0.0
1970/01/01/01:00:06.141000,0.0
1970/01/01/01:00:06.161000,0.0
1970/01/01/01:00:06.180000,0.0
1970/01/01/01:00:06.206000,0.0
1970/01/01/01:00:06.220000,0.0
1970/01/01/01:00:06.241000,0.0
1970/01/01/01:00:06.260000,0.0
1970/01/01/01:00:06.281000,0.0
1970/01/01/01:00:06.300000,0.0
1970/01/01/01:00:06.320000,0.0
1970/01/01/01:00:06.341000,0.0
1970/01/01/01:00:06.361000,0.0
1970/01/01/01:00:06.380000,0.0
1970/01/01/01:00:06.401000,0.0
1970/01/01/01:00:06.420000,0.0
1970/01/01/01:00:06.440000,0.0
1970/01/01/01:00:06.461000,0.0
1970/01/01/01:00:06.482000,0.0
1970/01/01/01:00:06.503000,0.0
1970/01/01/01:00:06.521000,0.0
1970/01/01/01:00:06.542000,0.0
1970/01/01/01:00:06.560000,0.0
1970/01/01/01:00:06.581000,0.0
1970/01/01/01:00:06.601000,0.0
1970/01/01/01:00:06.620000,0.0
1970/01/01/01:00:06.640000,0.0
1970/01/01/01:00:06.661000,0.0
1970/01/01/01:00:06.681000,0.0
1970/01/01/01:00:06.702000,0.0
1970/01/01/01:00:06.720000,0.0
1970/01/01/01:00:06.741000,0.0
1970/01/01/01:00:06.761000,0.0
1970/01/01/01:00:06.781000,0.0
1970/01/01/01:00:06.801000,0.0
1970/01/01/01:00:06.821000,0.0
1970/01/01/01:00:06.841000,0.0
1970/01/01/01:00:06.862000,0.0
1970/01/01/01:00:06.881000,0.0
1970/01/01/01:00:06.901000,0.0
1970/01/01/01:00:06.920000,0.0
1970/01/01/01:00:06.940000,0.0
1970/01/01/01:00:06.961000,0.0
1970/01/01/01:00:06.980000,0.0
1970/01/01/01:00:07.000000,0.0
1970/01/01/01:00:07.020000,0.0
