time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity,.acceleration
1970/01/01/01:00:01.996000,1,1,995000000,,2.0,0.0,0.0
1970/01/01/01:00:01.996000,2,1,996000000,,2.0,0.0,0.0
1970/01/01/01:00:02.002000,3,2,2000000,,2.0,0.0,0.0
1970/01/01/01:00:02.021000,4,2,21000000,,2.0,0.0,0.0
1970/01/01/01:00:02.042000,5,2,41000000,,2.0,0.0,0.0
1970/01/01/01:00:02.063000,6,2,62000000,,2.0,0.0,0.0
1970/01/01/01:00:02.082000,7,2,82000000,,2.0,0.0,0.0
1970/01/01/01:00:02.102000,8,2,102000000,,2.0,0.0,0.0
1970/01/01/01:00:02.122000,9,2,121000000,,2.0,0.0,0.0
1970/01/01/01:00:02.141000,10,2,141000000,,2.0,0.0,0.0
1970/01/01/01:00:02.161000,11,2,161000000,,2.0,0.0,0.0
1970/01/01/01:00:02.181000,12,2,181000000,,2.0,0.0,0.0
1970/01/01/01:00:02.202000,13,2,201000000,,2.0,0.0,0.0
1970/01/01/01:00:02.222000,14,2,221000000,,2.0,0.0,0.0
1970/01/01/01:00:02.243000,15,2,241000000,,2.0,0.0,0.0
1970/01/01/01:00:02.263000,16,2,261000000,,2.0,0.0,0.0
1970/01/01/01:00:02.282000,17,2,281000000,,2.0,0.0,0.0
1970/01/01/01:00:02.302000,18,2,302000000,,2.0,0.0,0.0
1970/01/01/01:00:02.324000,19,2,322000000,,2.0,0.0,0.0
1970/01/01/01:00:02.343000,20,2,341000000,,2.0,0.0,0.0
1970/01/01/01:00:02.361000,21,2,361000000,,2.0,0.0,0.0
1970/01/01/01:00:02.381000,22,2,381000000,,2.0,0.0,0.0
1970/01/01/01:00:02.402000,23,2,401000000,,2.0,0.0,0.0
1970/01/01/01:00:02.426000,24,2,426000000,,2.0,0.0,0.0
1970/01/01/01:00:02.442000,25,2,441000000,,2.0,0.0,0.0
1970/01/01/01:00:02.462000,26,2,461000000,,2.0,0.0,0.0
1970/01/01/01:00:02.483000,27,2,481000000,,2.0,0.0,0.0
1970/01/01/01:00:02.502000,28,2,501000000,,2.0,0.0,0.0
1970/01/01/01:00:02.521000,29,2,521000000,,2.0,0.0,0.0
1970/01/01/01:00:02.542000,30,2,542000000,,2.0,0.0,0.0
1970/01/01/01:00:02.562000,31,2,561000000,,2.0,0.0,0.0
1970/01/01/01:00:02.582000,32,2,581000000,,2.0,0.0,0.0
1970/01/01/01:00:02.602000,33,2,601000000,,2.0,0.0,0.0
1970/01/01/01:00:02.621000,34,2,621000000,,2.0,0.0,0.0
1970/01/01/01:00:02.642000,35,2,641000000,,2.0,0.0,0.0
1970/01/01/01:00:02.661000,36,2,661000000,,2.0,0.0,0.0
1970/01/01/01:00:02.682000,37,2,681000000,,2.0,0.0,0.0
1970/01/01/01:00:02.701000,38,2,701000000,,2.0,0.0,0.0
1970/01/01/01:00:02.722000,39,2,721000000,,2.0,0.0,0.0
1970/01/01/01:00:02.742000,40,2,741000000,,2.0,0.0,0.0
1970/01/01/01:00:02.762000,41,2,761000000,,2.0,0.0,0.0
1970/01/01/01:00:02.782000,42,2,781000000,,2.0,0.0,0.0
1970/01/01/01:00:02.802000,43,2,801000000,,2.0,0.0,0.0
1970/01/01/01:00:02.823000,44,2,821000000,,2.0,0.0,0.0
1970/01/01/01:00:02.842000,45,2,841000000,,2.0,0.0,0.0
1970/01/01/01:00:02.861000,46,2,861000000,,2.0,0.0,0.0
1970/01/01/01:00:02.882000,47,2,882000000,,2.0,0.0,0.0
1970/01/01/01:00:02.902000,48,2,901000000,,2.0,0.0,0.0
1970/01/01/01:00:02.922000,49,2,921000000,,2.0,0.0,0.0
1970/01/01/01:00:02.941000,50,2,941000000,,2.0,0.0,0.0
1970/01/01/01:00:02.962000,51,2,961000000,,2.0,0.0,0.0
1970/01/01/01:00:02.982000,52,2,981000000,,2.0,0.0,0.0
1970/01/01/01:00:03.002000,53,3,1000000,,2.0,0.0,0.0
1970/01/01/01:00:03.022000,54,3,21000000,,2.0,0.0,0.0
1970/01/01/01:00:03.042000,55,3,41000000,,2.0,0.0,0.0
1970/01/01/01:00:03.063000,56,3,61000000,,2.0,0.0,0.0
1970/01/01/01:00:03.081000,57,3,81000000,,2.0,0.0,0.0
1970/01/01/01:00:03.103000,58,3,102000000,,2.0,0.0,0.0
1970/01/01/01:00:03.123000,59,3,122000000,,2.0,0.0,0.0
1970/01/01/01:00:03.142000,60,3,141000000,,2.0,0.0,0.0
1970/01/01/01:00:03.161000,61,3,161000000,,2.0,0.0,0.0
1970/01/01/01:00:03.181000,62,3,181000000,,2.0,0.0,0.0
1970/01/01/01:00:03.203000,63,3,201000000,,2.0,0.0,0.0
1970/01/01/01:00:03.222000,64,3,221000000,,2.0,0.0,0.0
1970/01/01/01:00:03.241000,65,3,241000000,,2.0,0.0,0.0
1970/01/01/01:00:03.262000,66,3,261000000,,2.0,0.0,0.0
1970/01/01/01:00:03.281000,67,3,281000000,,2.0,0.0,0.0
1970/01/01/01:00:03.302000,68,3,301000000,,2.0,0.0,0.0
1970/01/01/01:00:03.322000,69,3,321000000,,2.0,0.0,0.0
1970/01/01/01:00:03.342000,70,3,342000000,,2.0,0.0,0.0
1970/01/01/01:00:03.362000,71,3,362000000,,2.0,0.0,0.0
1970/01/01/01:00:03.382000,72,3,381000000,,2.0,0.0,0.0
1970/01/01/01:00:03.401000,73,3,401000000,,2.0,0.0,0.0
1970/01/01/01:00:03.422000,74,3,421000000,,2.0,0.0,0.0
1970/01/01/01:00:03.441000,75,3,441000000,,2.0,0.0,0.0
1970/01/01/01:00:03.462000,76,3,461000000,,2.0,0.0,0.0
1970/01/01/01:00:03.482000,77,3,481000000,,2.0,0.0,0.0
1970/01/01/01:00:03.501000,78,3,501000000,,2.0,0.0,0.0
1970/01/01/01:00:03.522000,79,3,521000000,,2.0,0.0,0.0
1970/01/01/01:00:03.542000,80,3,541000000,,2.0,0.0,0.0
1970/01/01/01:00:03.562000,81,3,562000000,,2.0,0.0,0.0
1970/01/01/01:00:03.581000,82,3,581000000,,2.0,0.0,0.0
1970/01/01/01:00:03.601000,83,3,601000000,,2.0,0.0,0.0
1970/01/01/01:00:03.621000,84,3,621000000,,2.0,0.0,0.0
1970/01/01/01:00:03.643000,85,3,643000000,,2.0,0.0,0.0
1970/01/01/01:00:03.663000,86,3,661000000,,2.0,0.0,0.0
1970/01/01/01:00:03.682000,87,3,681000000,,2.0,0.0,0.0
1970/01/01/01:00:03.702000,88,3,701000000,,2.0,0.0,0.0
1970/01/01/01:00:03.722000,89,3,721000000,,2.0,0.0,0.0
1970/01/01/01:00:03.743000,90,3,741000000,,2.0,0.0,0.0
1970/01/01/01:00:03.761000,91,3,761000000,,2.0,0.0,0.0
